gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
A1BG,ENSG00000121410,ENST00000263100,P04217,Alpha-1B-glycoprotein ,28.9033404,,
A1CF,ENSG00000148584,ENST00000374001,Q9NQ94,APOBEC1 complementation factor ,0.012305833,,
A2M,ENSG00000175899,ENST00000318602,P01023,Alpha-2-macroglobulin ,0.0706267,0.088404442,53.219474084
A2ML1,ENSG00000166535,ENST00000299698,A8K2U0,Alpha-2-macroglobulin-like protein 1 ,0.1819351,,
A3GALT2,ENSG00000184389,ENST00000442999,U3KPV4,"Alpha-1,3-galactosyltransferase 2 ",0.068717867,,
A4GALT,ENSG00000128274,ENST00000642412,Q9NPC4,Lactosylceramide 4-alpha-galactosyltransferase ,5.541475833,,
A4GNT,ENSG00000118017,ENST00000236709,Q9UNA3,"Alpha-1,4-N-acetylglucosaminyltransferase ",0.0,,
AAAS,ENSG00000094914,ENST00000209873,Q9NRG9,Aladin ,87.15128067,224.6023856,135210.6361312
AACS,ENSG00000081760,ENST00000316519,Q86V21,Acetoacetyl-CoA synthetase ,17.57579133,99.13183765,59677.3662653
AADAC,ENSG00000114771,ENST00000232892,P22760,Arylacetamide deacetylase ,0.0,,
AADACL2,ENSG00000197953,ENST00000356517,Q6P093,Arylacetamide deacetylase-like 2 ,0.018010333,,
AADACL3,ENSG00000188984,ENST00000359318,Q5VUY0,Arylacetamide deacetylase-like 3 ,0.0038791,,
AADACL4,ENSG00000204518,ENST00000376221,Q5VUY2,Arylacetamide deacetylase-like 4 ,0.0,,
AADAT,ENSG00000109576,ENST00000337664,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial ",18.19701,5.4971474,3309.2827348
AAGAB,ENSG00000103591,ENST00000561452,Q6PD74,Alpha- and gamma-adaptin-binding protein p34,70.34428533,284.8393147,171473.26744939998
AAK1,ENSG00000115977,ENST00000406297,Q2M2I8,AP2-associated protein kinase 1 ,15.22460967,57.70918166,34740.92735932
AAMDC,ENSG00000087884,ENST00000393427,Q9H7C9,Mth938 domain-containing protein ,73.45781033,540.7486612,325530.6940424
AAMP,ENSG00000127837,ENST00000248450,Q13685,Angio-associated migratory cell protein,204.98855,1057.032002,636333.2652039999
AANAT,ENSG00000129673,ENST00000250615,Q16613,Serotonin N-acetyltransferase ,0.395500977,,
AAR2,ENSG00000131043,ENST00000320849,Q9Y312,Protein AAR2 homolog ,34.90334933,382.5363825,230286.902265
AARD,ENSG00000205002,ENST00000378279,Q4LEZ3,Alanine and arginine-rich domain-containing protein,0.615578,,
AARS1,ENSG00000090861,ENST00000261772,P49588,"Alanine--tRNA ligase, cytoplasmic ",123.2120487,2239.422859,1348132.561118
AARS2,ENSG00000124608,ENST00000244571,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial ",35.35652533,225.6756758,135856.75683159998
AARSD1,ENSG00000266967,ENST00000427569,Q9BTE6,Alanyl-tRNA editing protein Aarsd1 ,88.68021567,287.6138895,173143.56147900003
AASDH,ENSG00000157426,ENST00000205214,Q4L235,Beta-alanine-activating enzyme ,10.79984147,8.751708568,5268.528557936
AASDHPPT,ENSG00000149313,ENST00000278618,Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase ,75.42634267,1176.500849,708253.511098
AASS,ENSG00000008311,ENST00000417368,Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial ",19.61996467,143.2571175,86240.784735
AATF,ENSG00000275700,ENST00000619387,Q9NY61,Protein AATF ,83.94579673,522.6890401,314658.80214020004
AATK,ENSG00000181409,ENST00000326724,Q6ZMQ8,Serine/threonine-protein kinase LMTK1 ,4.346356833,,
ABAT,ENSG00000183044,ENST00000268251,P80404,"4-aminobutyrate aminotransferase, mitochondrial ",3.451750433,17.3357378,10436.1141556
ABCA1,ENSG00000165029,ENST00000374736,O95477,Phospholipid-transporting ATPase ABCA1 ,0.4291197,,
ABCA10,ENSG00000154263,ENST00000522406,Q8WWZ4,ATP-binding cassette sub-family A member 10 ,0.380987613,,
ABCA12,ENSG00000144452,ENST00000389661,Q86UK0,Glucosylceramide transporter ABCA12 ,0.054512403,,
ABCA13,ENSG00000179869,ENST00000417403,Q86UQ4,ATP-binding cassette sub-family A member 13 ,0.066736933,,
ABCA2,ENSG00000107331,ENST00000371605,Q9BZC7,ATP-binding cassette sub-family A member 2 ,15.91017739,151.2112125,91029.14992499999
ABCA3,ENSG00000167972,ENST00000301732,Q99758,Phospholipid-transporting ATPase ABCA3 ,10.80128487,4.515598221,2718.3901290420004
ABCA4,ENSG00000198691,ENST00000370225,P78363,Retinal-specific phospholipid-transporting ATPase ABCA4 ,0.045549833,,
ABCA5,ENSG00000154265,ENST00000588877,Q8WWZ7,Cholesterol transporter ABCA5 ,12.19988784,0.852773871,513.369870342
ABCA6,ENSG00000154262,ENST00000284425,Q8N139,ATP-binding cassette sub-family A member 6 ,0.131992567,,
ABCA7,ENSG00000064687,ENST00000435683,Q8IZY2,Phospholipid-transporting ATPase ABCA7 ,17.68973611,0.764184882,460.039298964
ABCA8,ENSG00000141338,ENST00000269080,O94911,ABC-type organic anion transporter ABCA8 ,0.292346267,,
ABCA9,ENSG00000154258,ENST00000495634,Q8IUA7,ATP-binding cassette sub-family A member 9 ,0.8294059,,
ABCB1,ENSG00000085563,ENST00000265724,P08183,ATP-dependent translocase ABCB1 ,6.3810621,13.83899544,8331.07525488
ABCB10,ENSG00000135776,ENST00000344517,Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial ",38.753573,88.76064196,53433.90645992
ABCB11,ENSG00000276582,ENST00000263817,O95342,Bile salt export pump ,0.0,60.25524895,36273.6598679
ABCB4,ENSG00000005471,ENST00000453593,P21439,Phosphatidylcholine translocator ABCB4 ,0.505265533,,
ABCB5,ENSG00000004846,ENST00000443026,Q2M3G0,ATP-binding cassette sub-family B member 5 ,0.202068933,,
ABCB6,ENSG00000115657,ENST00000265316,Q9NP58,ATP-binding cassette sub-family B member 6 ,10.346031,,
ABCB7,ENSG00000131269,ENST00000253577,O75027,"Iron-sulfur clusters transporter ABCB7, mitochondrial ",35.42142967,170.7829041,102811.3082682
ABCB8,ENSG00000197150,ENST00000358849,Q9NUT2,Mitochondrial potassium channel ATP-binding subunit ,51.89826405,22.5017621,13546.0607842
ABCB9,ENSG00000150967,ENST00000280560,Q9NP78,ABC-type oligopeptide transporter ABCB9 ,10.13442367,2.195151881,1321.481432362
ABCC1,ENSG00000278183,ENST00000621144,P33527,Multidrug resistance-associated protein 1 ,23.08019161,60.18328061,36230.33492722
ABCC10,ENSG00000124574,ENST00000372530,Q5T3U5,ATP-binding cassette sub-family C member 10 ,19.36501637,23.76305512,14305.359182240001
ABCC11,ENSG00000121270,ENST00000394748,Q96J66,ATP-binding cassette sub-family C member 11 ,0.378788345,,
ABCC12,ENSG00000140798,ENST00000529504,Q96J65,ATP-binding cassette sub-family C member 12 ,0.007646233,,
ABCC2,ENSG00000023839,ENST00000370449,Q92887,ATP-binding cassette sub-family C member 2 ,0.569959233,,
ABCC3,ENSG00000108846,ENST00000285238,O15438,ATP-binding cassette sub-family C member 3 ,1.2360822,,
ABCC4,ENSG00000125257,ENST00000376887,O15439,ATP-binding cassette sub-family C member 4 ,18.9896748,50.26072392,30256.955799839998
ABCC5,ENSG00000114770,ENST00000334444,O15440,Multidrug resistance-associated protein 5 ,24.40096373,12.76577509,7684.99660418
ABCC6,ENSG00000091262,ENST00000575728,O95255,ATP-binding cassette sub-family C member 6 ,4.073101958,,
ABCC8,ENSG00000006071,ENST00000644542,Q09428,ATP-binding cassette sub-family C member 8 ,3.056284019,,
ABCC9,ENSG00000069431,ENST00000261200,O60706,ATP-binding cassette sub-family C member 9 ,0.785278867,,
ABCD1,ENSG00000101986,ENST00000218104,P33897,ATP-binding cassette sub-family D member 1 ,4.956331667,4.127898958,2484.995172716
ABCD2,ENSG00000173208,ENST00000308666,Q9UBJ2,ATP-binding cassette sub-family D member 2 ,0.189365333,,
ABCD3,ENSG00000117528,ENST00000370214,P28288,ATP-binding cassette sub-family D member 3 ,55.6357764,374.6815498,225558.29297960002
ABCD4,ENSG00000119688,ENST00000356924,O14678,Lysosomal cobalamin transporter ABCD4 ,63.58783851,8.121205569,4888.965752538001
ABCE1,ENSG00000164163,ENST00000296577,P61221,ATP-binding cassette sub-family E member 1 ,138.019537,2046.526764,1232009.1119279999
ABCF1,ENSG00000231129,ENST00000426219,Q8NE71,ATP-binding cassette sub-family F member 1 ,121.8309587,1106.85311,666325.57222
ABCF2,ENSG00000033050,ENST00000287844,Q9UG63,ATP-binding cassette sub-family F member 2 ,164.3599933,1171.195477,705059.677154
ABCF3,ENSG00000161204,ENST00000429586,Q9NUQ8,ATP-binding cassette sub-family F member 3,29.53317529,149.6710629,90101.9798658
ABCG1,ENSG00000160179,ENST00000398449,P45844,ATP-binding cassette sub-family G member 1 ,2.6801032,0.408961114,246.19459062800001
