gene_name_canonical,compartment,source,Note
ACTN1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
ACTN4,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
COBL,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CORO1B,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
CORO2A,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
CSRP2,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
CTTN,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
DBNL,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
FLNB,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
GOLGA3,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
LIMCH1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
LMO7,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
LRRFIP2,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
MPDZ,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
MYH9,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MYL12B,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
MYL6,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
MYL6B,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
MYO18A,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PDLIM1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PDLIM7,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
PPP1R12A,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
PPP1R18,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: very high
SH3BGRL3,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
SIPA1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
SPTAN1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
SPTBN1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
SVIL,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
TJP1,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
TJP2,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
ZYX,actin-binding_protein,Itzhak et al 2016 PMID: 27278775,confidence score: high
ALMS1,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
C2CD3,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
CCDC15,centrosome,Bauer et al 2016 PMID: 27539480,combined proteomics and fluorescence microscopy
